cod_comuna,comuna,poblacion,conteo_establecimientos_salud,tasa_salud_10k,conteo_establecimientos_educacion,tasa_educacion_escolar_10k,conteo_establecimientos_educacion_superior,tasa_educacion_superior_10k,conteo_cuarteles_carabineros,tasa_carabineros_10k,conteo_companias_bomberos,tasa_bomberos_10k,conteo_paradas_metro_tren,tasa_metro_tren_10k,conteo_paradas_micro,tasa_micro_10k,conteo_infraestructura_deportiva,tasa_deporte_infra_10k,conteo_municipios,tasa_municipios_10k,conteo_ferias_libres,tasa_ferias_libres_10k,conteo_areas_verdes,tasa_areas_verdes_10k,conteo_osm_iglesias,tasa_iglesias_10k,conteo_osm_museos,tasa_museos_10k,conteo_osm_supermercados,tasa_supermercados_10k,conteo_osm_almacenes_barrio,tasa_almacenes_barrio_10k,conteo_osm_bancos,tasa_bancos_10k,conteo_osm_malls,tasa_malls_10k,conteo_osm_bencineras,tasa_bencineras_10k,conteo_osm_estadios,tasa_estadios_10k
13201,Puente Alto,568086,46,0.809736553972462,195,3.4325788701006537,5,0.0880148428230937,6,0.10561781138771244,6,0.10561781138771244,0,0.0,1001,17.62057153318336,371,6.530701337473552,1,0.017602968564618737,37,0.6513098368908933,192,3.379769964406798,80,1.4082374851694992,0,0.0,34,0.5985009311970371,129,2.270782944835817,18,0.31685343416313727,6,0.10561781138771244,26,0.4576771826800871,2,0.035205937129237475
13125,Quilicura,205624,18,0.8753841963973078,60,2.917947321324359,0,0.0,1,0.04863245535540599,4,0.19452982142162395,0,0.0,421,20.47426370462592,90,4.3769209819865385,1,0.04863245535540599,12,0.5835894642648718,69,3.355639419523013,33,1.6048710267283974,0,0.0,14,0.6808543749756838,100,4.863245535540599,3,0.14589736606621795,5,0.2431622767770299,12,0.5835894642648718,0,0.0
13126,Quinta Normal,129351,9,0.6957812463761394,71,5.488940943633988,0,0.0,2,0.15461805475025317,3,0.2319270821253798,0,0.0,282,21.801145719785698,74,5.720868025759367,1,0.07730902737512658,18,1.3915624927522787,120,9.277083285015191,18,1.3915624927522787,0,0.0,10,0.7730902737512659,32,2.4738888760040507,5,0.38654513687563297,0,0.0,15,1.159635410626899,3,0.2319270821253798
13127,Recoleta,154615,15,0.9701516670439478,68,4.398020890599231,6,0.38806066681757917,4,0.2587071112117194,4,0.2587071112117194,5,0.32338388901464926,353,22.83090256443424,93,6.014940335672477,1,0.06467677780292985,10,0.6467677780292985,135,8.731365003395531,37,2.3930407787084045,3,0.19403033340878958,15,0.9701516670439478,40,2.587071112117194,9,0.5820910002263687,7,0.452737444620509,12,0.7761213336351583,1,0.06467677780292985
13128,Renca,143622,11,0.7658993747476013,60,4.177632953168735,3,0.20888164765843673,2,0.13925443177229116,1,0.06962721588614558,0,0.0,291,20.261519822868365,84,5.848686134436228,1,0.06962721588614558,12,0.8355265906337469,525,36.55428834022643,13,0.9051538065198925,0,0.0,7,0.487390511203019,10,0.6962721588614558,6,0.41776329531687345,0,0.0,8,0.5570177270891646,2,0.13925443177229116
13401,San Bernardo,306371,39,1.272966436118301,134,4.373782113842368,6,0.1958409901720463,2,0.06528033005734876,6,0.1958409901720463,10,0.3264016502867439,626,20.432743307950165,153,4.99394524938718,1,0.03264016502867438,8,0.26112132022939505,130,4.243221453727671,25,0.8160041257168597,1,0.03264016502867438,19,0.6201631355448133,59,1.9257697366917885,18,0.5875229705161389,4,0.13056066011469752,30,0.9792049508602316,2,0.06528033005734876
13129,San Joaquín,95602,13,1.3598041881968996,40,4.1840128867596915,10,1.0460032216899229,1,0.10460032216899227,2,0.20920064433798455,0,0.0,247,25.83627957574109,80,8.368025773519383,1,0.10460032216899227,8,0.8368025773519382,81,8.472626095688375,19,1.9874061212108534,0,0.0,5,0.5230016108449614,18,1.882805799041861,10,1.0460032216899229,2,0.20920064433798455,11,1.150603543858915,1,0.10460032216899227
13203,San José de Maipo,17441,5,2.866808095866063,11,6.306977810905337,0,0.0,3,1.7200848575196377,4,2.29344647669285,0,0.0,0,0.0,30,17.200848575196378,1,0.5733616191732125,0,0.0,12,6.880339430078551,4,2.29344647669285,0,0.0,4,2.29344647669285,3,1.7200848575196377,2,1.146723238346425,0,0.0,2,1.146723238346425,0,0.0
13130,San Miguel,150829,29,1.9227071716977504,63,4.1769155798951125,7,0.464101731099457,1,0.06630024729992243,1,0.06630024729992243,0,0.0,213,14.121952674883476,61,4.044315085295268,1,0.06630024729992243,6,0.39780148379953456,45,2.9835111284965095,14,0.928203462198914,0,0.0,7,0.464101731099457,22,1.4586054405982936,17,1.1271042040986814,2,0.13260049459984485,8,0.5304019783993794,1,0.06630024729992243
13505,San Pedro,11108,6,5.401512423478573,11,9.902772776377386,0,0.0,2,1.8005041411595248,2,1.8005041411595248,0,0.0,0,0.0,34,30.60857039971192,1,0.9002520705797624,0,0.0,7,6.301764494058336,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13131,San Ramón,76002,10,1.3157548485566168,38,4.999868424515145,0,0.0,1,0.1315754848556617,2,0.2631509697113234,0,0.0,219,28.81503118338991,78,10.26288781874161,1,0.1315754848556617,8,1.0526038788452936,274,36.05168285045131,17,2.236783242546249,0,0.0,3,0.3947264545669851,12,1.5789058182679403,1,0.1315754848556617,0,0.0,5,0.6578774242783084,1,0.1315754848556617
13101,Santiago,438856,93,2.1191461436097487,132,3.00782033286545,260,5.9244945950380075,4,0.09114607069289243,11,0.25065169440545415,2,0.04557303534644622,697,15.882202818236506,157,3.5774832746960277,1,0.02278651767322311,14,0.31901124742512355,88,2.005213555243633,96,2.1875056966294184,43,0.9798202599485937,51,1.1621124013343784,290,6.6080901252347015,143,3.258472027270904,23,0.5240899064841315,31,0.7063820478699163,2,0.04557303534644622
13601,Talagante,76429,13,1.7009250415418231,50,6.542019390545473,1,0.13084038781090948,1,0.13084038781090948,3,0.3925211634327284,0,0.0,0,0.0,73,9.551348310196392,1,0.13084038781090948,1,0.13084038781090948,119,15.570006149498226,9,1.177563490298185,0,0.0,8,1.0467231024872758,6,0.7850423268654568,9,1.177563490298185,3,0.3925211634327284,8,1.0467231024872758,0,0.0
13303,Tiltil,19742,9,4.558808631344342,19,9.624151555060278,0,0.0,4,2.026137169486374,4,2.026137169486374,0,0.0,0,0.0,32,16.209097355890993,1,0.5065342923715935,2,1.013068584743187,61,30.898591834667208,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.013068584743187,0,0.0
13132,Vitacura,86420,26,3.008562832677621,19,2.198565146956723,9,1.0414255959268688,1,0.11571395510298542,1,0.11571395510298542,0,0.0,193,22.332793334876186,37,4.281416338810461,1,0.11571395510298542,2,0.23142791020597084,123,14.232816477667207,10,1.1571395510298543,4,0.4628558204119417,11,1.2728535061328397,35,4.04998842860449,53,6.132839620458228,6,0.6942837306179126,16,1.8514232816477667,0,0.0
13120,Ñuñoa,241467,34,1.4080599005247094,80,3.313082118881669,32,1.3252328475526676,2,0.08282705297204172,5,0.20706763243010431,0,0.0,408,16.896718806296512,97,4.017112069144024,1,0.04141352648602086,10,0.41413526486020863,96,3.975698542658003,48,1.9878492713290015,5,0.20706763243010431,21,0.8696840562064382,104,4.30700675454617,36,1.490886953496751,3,0.12424057945806259,23,0.9525111091784798,3,0.12424057945806259
